Task name,Description content,Status,Priority,Tags,List (ClickUp),Subtasks
Rebuild app shell and navigation,"Replace the current flat utility sidebar with a CMS-style shell that matches the new design. Group routes into Dashboard, Content Library, Imports, Challenges, Rewards, and Admin Tools. Surface current admin email, sign out, and environment context in the shell.",To Do,2,redesign|shell|phase-1,Foundation,"Define new navigation map|Create shared sidebar component|Create top toolbar component|Add environment badge|Add reusable page header layout|Add empty state layout"
Add session and environment visibility,"Improve the sign-in and post-login shell so admins can see auth state, allowed access context, and current Firebase environment. Keep existing Firebase email/password auth flow but redesign the presentation.",To Do,3,auth|shell|phase-1,Foundation,"Redesign sign-in screen|Add loading state view|Show access policy hint|Show signed-in admin chip|Show active environment label|Handle unauthorized session messaging"
Build dashboard summary view,"Create the main dashboard shown in the mockup. It should summarize content counts, challenge activity, recent imports, and operational alerts using the existing Firestore collections.",To Do,2,dashboard|analytics|phase-1,Dashboard,"Add metric cards for subjects topics questions challenges badges|Add recent import widget|Add destructive ops warning widget|Add failed validation widget|Add quick actions section|Define Firestore read model for dashboard"
Add dashboard operational insights,"Support dashboard sections for recent changes and system health so the new design is useful for admins, not only decorative.",To Do,3,dashboard|ops|phase-2,Dashboard,"Show recent content updates|Show latest challenge schedule changes|Show environment-specific counters|Highlight missing icons or broken mappings|Highlight stale content or empty collections"
Create subjects library list and detail flow,"Turn the current combined create and update screen into a real subjects library with list, detail panel, search, and edit actions.",To Do,2,subjects|library|phase-1,Subjects,"Create subjects list view|Add search and sorting|Add subject detail panel|Add create subject modal|Add edit subject modal|Add subject icon preview"
Fix subject-topic management workflow,"The current UI derives related topics by matching topic.name to subject.name. Replace that with explicit topicIds management and a proper assignment UI.",To Do,1,subjects|schema-cleanup|phase-1,Subjects,"Load topicIds from Subjects collection|Build assign or unassign topics picker|Show linked topic count|Support replacing topic links not only arrayUnion|Validate missing linked topics|Remove name-based relationship logic"
Create topics library table and filters,"Replace the fragile topic edit screen with a topics library that supports browse, filter, inspect, and safe editing.",To Do,2,topics|library|phase-1,Topics,"Create topics table view|Add filters by education level and category|Add topic detail inspector|Show icon and trending columns|Show linked question count|Add create topic action"
Replace topic edit form with safe editor,"The current topic edit flow can write the topic id into category and load category into name. Build a new topic editor with clean field binding and validation.",To Do,1,topics|bugfix|phase-1,Topics,"Separate topic selector value from editable category field|Bind name to topic.name|Bind category to topic.category|Validate required fields|Confirm delete action|Refresh list after save"
Build topic creation workflow,"Support manual topic creation in addition to CSV import so admins can create single topics directly from the new library.",To Do,3,topics|create|phase-2,Topics,"Add create topic form|Validate duplicate rules|Support icon upload|Persist education level|Handle create success and error feedback"
Build topic CSV import wizard,"Upgrade the current CSV import into a multi-step import flow with schema guidance, row preview, duplicate report, and import summary.",To Do,2,imports|topics|phase-1,Imports,"Add file selection step|Validate header and column count|Preview parsed rows|Show duplicates before import|Show success and failure summary|Offer retry after validation errors"
Normalize topic naming semantics,"Freeze one canonical meaning for Topics.name and Topics.category before building the new UI. Current source mixes them across edit and import flows.",To Do,1,schema-cleanup|topics|phase-1,Data Model,"Audit existing topic documents|Define canonical field rules|Update importer mapping rules|Update edit flow mapping|Backfill corrupted category values|Document topic semantics"
Create questions library table and inspector,"The mockup expects a real questions library. Build a searchable questions table backed by the root Questions collection with detail inspector and topic metadata.",To Do,2,questions|library|phase-1,Questions,"Create questions table view|Add filters by topic and difficulty|Show question preview card|Add pagination or lazy loading|Add question details inspector|Add duplicate flagging"
Add question edit and single-item maintenance,"The current app only imports and bulk deletes questions. Add support for editing or reviewing a single question from the library.",To Do,2,questions|editor|phase-2,Questions,"Add question edit form|Validate options and correct answer|Support explanation editing|Support topic reassignment|Save back to root Questions collection|Refresh question detail after save"
Add bulk question actions,"Support the operational tasks implied by the new design without forcing admins to use a raw topic id delete tool.",To Do,2,questions|bulk-actions|phase-2,Questions,"Bulk delete selected questions|Bulk move questions to another topic|Bulk change difficulty|Bulk export selection|Add safety confirmation for bulk actions|Show batch result summary"
Refactor destructive question deletion flow,"Keep destructive operations available, but move them into a guarded admin tools experience with explicit confirmation and preview.",To Do,1,destructive-ops|safety|phase-1,Admin Tools,"Require preview before delete|Show affected question count|Add typed confirmation step|Show backup guidance|Log delete operation summary|Handle partial failure reporting"
